,name,url,visible_ini,visible_end
524,Tarazed,https://www.glyphweb.com/esky/stars/tarazed.html,July,August
525,Reda,https://www.glyphweb.com/esky/stars/tarazed.html,July,August
526,Rotanev,https://www.glyphweb.com/esky/stars/rotanev.html,August,August
527,Venator,https://www.glyphweb.com/esky/stars/rotanev.html,August,August
528,Suhail al Muhlif,https://www.glyphweb.com/esky/stars/suhailalmuhlif.html,February,February
529,Regor,https://www.glyphweb.com/esky/stars/suhailalmuhlif.html,February,February
530,Ruchba,https://www.glyphweb.com/esky/stars/ruchba.html,August,August
531,Revati,https://www.glyphweb.com/esky/stars/zetapiscium.html,October,November
532,Rhombus,https://www.glyphweb.com/esky/stars/alphareticuli.html,December,December
533,Sabik,https://www.glyphweb.com/esky/stars/sabik.html,June,July
534,Schedir,https://www.glyphweb.com/esky/stars/schedir.html,October,October
535,Schedar,https://www.glyphweb.com/esky/stars/schedir.html,October,October
536,Shedir,https://www.glyphweb.com/esky/stars/schedir.html,October,October
537,Sneden'sStar,https://www.glyphweb.com/esky/stars/snedensstar.html,KIIvworangebright giant,KIIvworangebright giant
538,The Sun,https://www.glyphweb.com/esky/stars/sun.html,"Mercury,terrestrial planetVenus,terrestrial planetEarth,terrestrial planetMars,terrestrial planetJupiter,gas giantSaturn,gas giantUranus,ice giantNeptune,ice giantNumerousdwarf planets,asteroidsand other bodies","Mercury,terrestrial planetVenus,terrestrial planetEarth,terrestrial planetMars,terrestrial planetJupiter,gas giantSaturn,gas giantUranus,ice giantNeptune,ice giantNumerousdwarf planets,asteroidsand other bodies"
539,Sol,https://www.glyphweb.com/esky/stars/sun.html,"Mercury,terrestrial planetVenus,terrestrial planetEarth,terrestrial planetMars,terrestrial planetJupiter,gas giantSaturn,gas giantUranus,ice giantNeptune,ice giantNumerousdwarf planets,asteroidsand other bodies","Mercury,terrestrial planetVenus,terrestrial planetEarth,terrestrial planetMars,terrestrial planetJupiter,gas giantSaturn,gas giantUranus,ice giantNeptune,ice giantNumerousdwarf planets,asteroidsand other bodies"
540,Sadachbia,https://www.glyphweb.com/esky/stars/sadachbia.html,September,September
541,Sadalachbia,https://www.glyphweb.com/esky/stars/sadachbia.html,September,September
542,Solaris,https://www.glyphweb.com/esky/stars/solaris.html,K5Vorangedwarf,K5Vorangedwarf
543,Spica,https://www.glyphweb.com/esky/stars/spica.html,April,May
544,Sadalbari,https://www.glyphweb.com/esky/stars/sadalbari.html,September,September
545,Segin,https://www.glyphweb.com/esky/stars/segin.html,October,November
546,Stellio,https://www.glyphweb.com/esky/stars/alphalacertae.html,September,September
547,Sadalmelik,https://www.glyphweb.com/esky/stars/sadalmelik.html,September,September
548,Sadalmelek,https://www.glyphweb.com/esky/stars/sadalmelik.html,September,September
549,Sterope,https://www.glyphweb.com/esky/stars/sterope.html,November,December
550,Sterope II,https://www.glyphweb.com/esky/stars/sterope.html,November,December
551,Sadalsuud,https://www.glyphweb.com/esky/stars/sadalsuud.html,August,September
552,Sadalsud,https://www.glyphweb.com/esky/stars/sadalsuud.html,August,September
553,Shaomin,https://www.glyphweb.com/esky/stars/rholeonis.html,March,March
554,Sterrennacht,https://www.glyphweb.com/esky/stars/sterrennacht.html,F8Vbright yellowdwarf,F8Vbright yellowdwarf
555,Sadr,https://www.glyphweb.com/esky/stars/sadir.html,August,August
556,Sadir,https://www.glyphweb.com/esky/stars/sadir.html,August,August
557,Sheratan,https://www.glyphweb.com/esky/stars/sheratan.html,October,November
558,Sharatan,https://www.glyphweb.com/esky/stars/sheratan.html,October,November
559,Sualocin,https://www.glyphweb.com/esky/stars/sualocin.html,August,August
560,None,https://www.glyphweb.com/esky/stars/sharjah.html,M3Vreddwarf(some source prefer aK-typeorangeclassification),M3Vreddwarf(some source prefer aK-typeorangeclassification)
561,Subra,https://www.glyphweb.com/esky/stars/subra.html,February,March
562,Saiph,https://www.glyphweb.com/esky/stars/saiph.html,December,January
563,Shaula,https://www.glyphweb.com/esky/stars/shaula.html,June,July
564,Samoht,https://www.glyphweb.com/esky/stars/alphamonocerotis.html,,
565,Sheliak,https://www.glyphweb.com/esky/stars/sheliak.html,July,July
566,Sargas,https://www.glyphweb.com/esky/stars/sargas.html,June,July
567,Sulafat,https://www.glyphweb.com/esky/stars/sulaphat.html,July,July
568,Sulaphat,https://www.glyphweb.com/esky/stars/sulaphat.html,July,July
569,Sarin,https://www.glyphweb.com/esky/stars/sarin.html,June,July
570,Sceptrum,https://www.glyphweb.com/esky/stars/sceptrum.html,December,December
571,Some sources name thisstarasSinistra,https://www.glyphweb.com/esky/stars/nuophiuchi.html,"Nu Ophiuchi b,brown dwarfNuOphiuchic,brown dwarf","Nu Ophiuchi b,brown dwarfNuOphiuchic,brown dwarf"
572,though this is not in common use,https://www.glyphweb.com/esky/stars/nuophiuchi.html,"Nu Ophiuchi b,brown dwarfNuOphiuchic,brown dwarf","Nu Ophiuchi b,brown dwarfNuOphiuchic,brown dwarf"
573,Scheat,https://www.glyphweb.com/esky/stars/scheat.html,September,September
574,Syrma,https://www.glyphweb.com/esky/stars/syrma.html,May,May
575,Skat,https://www.glyphweb.com/esky/stars/skat.html,September,September
576,Tabit,https://www.glyphweb.com/esky/stars/pi1orionis.html,December,December
577,Tianguan,https://www.glyphweb.com/esky/stars/zetatauri.html,December,January
578,Taygeta,https://www.glyphweb.com/esky/stars/taygeta.html,November,December
579,Titawin,https://www.glyphweb.com/esky/stars/upsilonandromedae.html,"Saffar(Titawin b),gas giantSamh(Titawin c),gas giantMajriti(Titawin d),gas giantTitawin e, hypotheticalexoplanet","Saffar(Titawin b),gas giantSamh(Titawin c),gas giantMajriti(Titawin d),gas giantTitawin e, hypotheticalexoplanet"
580,Teegarden'sStar,https://www.glyphweb.com/esky/stars/so253005165258.html,M7.5Vreddwarf,M7.5Vreddwarf
581,Tabit (Upsilon Orionis),https://www.glyphweb.com/esky/stars/thabit.html,,
582,Tonatiuh,https://www.glyphweb.com/esky/stars/tonatiuh.html,"Meztli(Tonatiuh b,HD 104985 b),gas giant","Meztli(Tonatiuh b,HD 104985 b),gas giant"
583,Taika,https://www.glyphweb.com/esky/stars/taika.html,ProbableF-typebright yellowsubgiant(Some sources prefer aG-typeyellowclassification),ProbableF-typebright yellowsubgiant(Some sources prefer aG-typeyellowclassification)
584,Torcular,https://www.glyphweb.com/esky/stars/torcularisseptentrionalis.html,October,November
585,Torcularis Septentrionalis,https://www.glyphweb.com/esky/stars/torcularisseptentrionalis.html,October,November
586,Tevel,https://www.glyphweb.com/esky/stars/tevel.html,F7Vbright yellowdwarf*,F7Vbright yellowdwarf*
587,The Trapezium,https://www.glyphweb.com/esky/stars/trapezium.html,B0.5Vbluemain sequence star(Theta1OrionisA)B0Vbluemain sequence star(Theta1OrionisB)O6.5VBlue-whitemain sequence star(Theta1OrionisC)B0.5Vbluemain sequence star(Theta1OrionisD),B0.5Vbluemain sequence star(Theta1OrionisA)B0Vbluemain sequence star(Theta1OrionisB)O6.5VBlue-whitemain sequence star(Theta1OrionisC)B0.5Vbluemain sequence star(Theta1OrionisD)
588,Thabit,https://www.glyphweb.com/esky/stars/thabit.html,,
589,Thuban,https://www.glyphweb.com/esky/stars/thuban.html,May,May
590,Tapecue,https://www.glyphweb.com/esky/stars/tapecue.html,G6IV-Vyellowsubgiant,G6IV-Vyellowsubgiant
591,Ukdah,https://www.glyphweb.com/esky/stars/ukdah.html,February,March
592,Unukalhai,https://www.glyphweb.com/esky/stars/unukelhaia.html,May,June
593,Unuk Élhaia,https://www.glyphweb.com/esky/stars/unukelhaia.html,May,June
594,Unurgunite,https://www.glyphweb.com/esky/stars/unurgunite.html,January,January
595,The B component is sometimes known as 'Van Biesbroeck'sStar',https://www.glyphweb.com/esky/stars/v1428aquilae.html,Apparent:+9.11Absolute:+10.27,Apparent:+9.11Absolute:+10.27
596,Vathorz Prior,https://www.glyphweb.com/esky/stars/vathorzprior.html,February,March
597,Veritate,https://www.glyphweb.com/esky/stars/veritate.html,"Spe(Veritate b,14 Andromedae b),gas giant","Spe(Veritate b,14 Andromedae b),gas giant"
